name,price,cup,calorie
珍珠紅茶拿鐵,65,L,455
大正紅茶拿鐵,55,L,165
伯爵紅茶拿鐵,55,L,198
茉香綠茶拿鐵,55,L,165
高峰烏龍拿鐵,55,L,165
茉香綠茶,30,L,100
大正紅茶,30,L,100
英倫伯爵紅茶,35,L,100
初露清茶,30,L,100
高峰烏龍綠,30,L,100
決明大麥,25,L,100
青採翠玉,40,L,0
珍珠鮮奶,85,L,572
手炒黑糖鮮奶,80,L,342
大甲芋頭鮮奶,85,L,594
法芙娜純可可鮮奶,80,L,267
出雲抹茶鮮奶,90,L,258
布丁鮮奶,85,L,450
冬瓜鮮奶,80,L,475
仙草凍鮮奶,80,L,355
紅豆鮮奶,80,L,504
桂圓鮮奶,65,M,312
芝麻鮮奶,65,M,1058
紅豆芝麻鮮奶,75,M,1056
珍珠紅茶鮮豆奶,65,L,733
大正紅茶鮮豆奶,55,L,354
伯爵紅茶鮮豆奶,55,L,237
高山烏龍鮮豆奶,55,L,230
出雲抹茶鮮豆奶,60,M,213
布丁紅茶鮮豆奶,60,M,298
柳丁綠,55,L,282
柳丁青,55,L,282
香柚綠茶,50,L,140
甘蔗青,55,L,80
青寧香茶,50,L,180
冬瓜檸檬,45,L,451
金桔檸檬,50,L,240
蜂農花蜜茶,45,L,250
冰糖洛神梅,45,L,171
養樂多綠,50,L,100
原鄉冬瓜茶,30,L,383
冬瓜青茶,40,L,60
桂圓紅棗茶,55,L,20
鹿谷黃金烏龍,60,XL,0
小山見青,70,XL,0