name,price,cup,calorie,
每日精選咖啡,95,L,5,
冰每日精選咖啡,95,L,4,
咖啡密斯朵,95,L,126,
太妃核果風味那堤,160,L,359,
耶誕雪人巧克力那堤,165,L,544,
薄荷風味摩卡咖啡,160,L,443,
馥列白,150,L,195,
濃焦糖那堤,155,L,439,
白巧克力咖啡那堤,150,L,421,
雲朵冰搖濃縮咖啡,145,L,96,
特選馥郁那堤,160,L,265,
卡布奇諾,136,L,136,
那堤,135,L,223,
焦糖瑪奇朵,155,L,277,
摩卡,150,L,364,
美式咖啡,110,L,17,
濃縮咖啡,95,L,11,
抹茶咖啡,160,L,277,
濃焦糖咖啡星冰樂,165,L,488,
咖啡星冰樂,125,L,242,
焦糖星冰樂,150,L,400,
焦糖可可碎片星冰樂,165,L,441,
摩卡可可碎片星冰樂,165,L,419,
香檸蜜柚冷萃咖啡,155,L,131,
經典特調氮氣冷萃咖啡,195,L,110,
經典特調冷萃咖啡,165,L,110,
氮氣冷萃咖啡,170,L,5,
深焦糖風味雲朵氮氣咖啡,220,L,78,
冷萃咖啡,140,L,3,
茶瓦納洋甘菊花草茶,110,M,2,
茶瓦納英式早餐紅茶,110,M,3,
熱蜜柚紅茶,140,L,181,
東方美人,160,L,0,
紅玉紅茶,160,L,0,
阿里山烏龍茶,180,L,0,
冰蜜柚紅茶,140,L,181,
冰搖茶,105,L,50,
冰搖檸檬茶,120,L,98,
醇濃抹茶那堤,150,L,229,
芝麻抹茶那堤,160,L,449,
伯爵茶那堤,145,L,210,
香草風味紅茶那堤,145,L,314,
經典紅茶那堤,145,L,199,
玫瑰蜜香茶那堤,145,L,199,
抹茶那堤,145,L,328,
醇濃抹茶奶霜星冰樂,145,M,370,
香草風味星冰樂,115,L,341,
巧克力可可碎片星冰樂,140,L,414,
抹茶奶霜星冰樂,160,L,444,
香檸雙果紅茶汽滋樂,135,L,154,
經典巧克力,150,L,556,
兒童熱可可,95,S,230,
雙果果汁星冰樂,135,L,191,